messages,sender_labels,receiver_labels,speakers,receivers,absolute_message_index,relative_message_index,seasons,years,game_score,game_score_delta,players,game_id
"We haven't even passed a season yet and you have a 'most reliable ally'?

I'll consider this proposal but, basically, I'm not going to expose myself to risk from either of you until I've seen a bit of your behavior",True,True,germany,italy,124,11,Spring,1901,3,0,"italy, germany",1
"Well, at least I have an idea of who to trust. Obviously, my ideas are subject to change. 

I understand your desire to watch behavior before committing to anything. I, personally, am a partner player. I look carefully early in the game for a small group to work with, and then I value loyalty and collaboration. I like to work closely with a tight-knit alliance. 

If you prefer to hop and back and forth, or play more of an individual game, then we might not be a good match. 

I’m looking for a loyal ally or two that I can coordinate with and make awesome moves with. Makes the game easier and a lot more fun.",True,True,italy,germany,132,12,Spring,1901,3,0,"italy, germany",1
"Just an FYI: I’ve now had both England and France suggest to me that I should move to Tyrolia and France will support me to Munich in the Fall. One saying that to me is not a big deal, but with both mentioning it, my alarm bells are going off. I am concerned about an E/F. 

I’m certainly not moving to Tyrolia. But I just want you to be cautious here. I feel like England and France are working together.",True,True,italy,germany,151,13,Spring,1901,3,0,"italy, germany",1
"I appreciate the tip, but I'm wondering why you're so against ousting me from Munich if I haven't explicitly agreed to be your ally?",True,True,germany,italy,171,14,Fall,1901,3,0,"italy, germany",1
"Because it is terrible, terrible play for Italy to attack Germany, in my view. If I were to attack you in Munich, I could never hold Munich. So, all I would be doing is weakening you, and helping France, England, or both to get really big. 

I don’t have any long-term path going north. Helping France to take you down is a sucker’s play, whether you are working with me or not.",True,NOANNOTATION,italy,germany,175,15,Fall,1901,3,0,"italy, germany",1
"Did France tell you he was moving to Burgundy, or was that a stab?",True,True,italy,germany,180,16,Fall,1901,3,0,"italy, germany",1
"I was not informed of it, no. And England is leading me to believe it's part of a play for Belgium, so if they're working together this might be a trick...

Italy, you seem like a straight shooter, and Austria has confirmed with me about your two's alliance. So I'll confide in you--this is my first ever game of diplomacy, and I think that teaming up with the two of you could help me learn more and have more fun. So, if you're still interested in a central powers alliance, I'm in.",True,True,germany,italy,188,17,Fall,1901,3,0,"italy, germany",1
"Okay full disclosure: I'm not very smart, and I accidentally let slip to England that you told me France was plotting to take Munich. I'm sorry for the error but I figured it was better to admit it so you know that England/France may not trust you.",True,True,germany,italy,222,18,Fall,1901,3,0,"italy, germany",1
"Okay, thanks for telling me.",True,True,italy,germany,226,19,Fall,1901,3,0,"italy, germany",1
"So, um, no alliance then?",True,True,germany,italy,254,20,Winter,1901,5,1,"italy, germany",1
"I do want to be allies. Sorry, busy weekend here running around with bambinos. More to come.",True,True,italy,germany,280,21,Winter,1901,4,-1,"italy, germany",1
What would you think of helping me take Marseilles in two turns?,True,True,germany,italy,314,22,Winter,1901,5,1,"italy, germany",1
"Hi Germany, I’ll certainly consider that. Though, I’ll note: traditionally, Germany would help Italy to Marseilles if the two of them work together there. The reason is that: if I help you to Marseilles, I’m basically cut off from going west and getting anything myself. So, usually, Germany would help Italy into Marseilles to encourage Italy to come west and Germany would plan to take Paris, Belgium and Brest.",True,True,italy,germany,338,23,Winter,1901,4,-1,"italy, germany",1
"Fair enough--I'll help you take it, then, but I'll need to deal with Belgium first.",True,True,germany,italy,340,24,Winter,1901,5,1,"italy, germany",1
How are things going with England? I think that getting him to work with you is the main key here.,True,True,italy,germany,341,25,Winter,1901,4,-1,"italy, germany",1
I'm trying--I just offered to assist with taking Sweden in exchange for some assistance into Belgium...not sure if they'll go for it...,True,True,germany,italy,354,26,Spring,1902,5,1,"italy, germany",1
I’ll check with England and try to see where his head is at.,True,True,italy,germany,359,27,Spring,1902,4,-1,"italy, germany",1
I've actually been thinking about this game all day 😅  and have come up with a plan I like a bit better... but England still hasn't responded to my initial offer.,True,NOANNOTATION,germany,italy,363,28,Spring,1902,5,1,"italy, germany",1
"That’s the worst!

And I’m glad to see you’re so focused on this in your first game. It’s a really great game if you put in the time and effort!",True,True,italy,germany,368,29,Spring,1902,4,-1,"italy, germany",1
You're definitely telling the truth on that one. So can I count on you to move to piedmont this season?,True,True,germany,italy,379,30,Spring,1902,5,1,"italy, germany",1
"I don’t think I can afford to move to Piedmont this season. I don’t really trust Austria to avoid walking through that door if I leave it wide open. 

I think you need to get England on board to attack France.",True,True,italy,germany,424,31,Spring,1902,4,-1,"italy, germany",1
"That's valid. And actually I was conferring with England and we concluded that it's not really gonna be possible for me to help you take Marseilles this year anyway. 

...what are you and Austria planning for this year, then? I'm willing to tell you my plans in exchange as a gesture of trust. 

Have you communicated at all with England or France?",True,True,germany,italy,426,32,Spring,1902,5,1,"italy, germany",1
"Hi, are you there?

Just woke up. 

England did return my message, but he did not tell me anything substantive so I really don’t know what he’s doing. I’m planning to move towards Turkey.",True,True,italy,germany,441,33,Spring,1902,4,-1,"italy, germany",1
"Well, you’re in trouble. That England move is trouble. 

I’m going to try to convince him to change course. I suggest you be very kind to him, and don’t burn that bridge. I think your game hinges on turning England around.",True,True,italy,germany,480,34,Spring,1902,4,-1,"italy, germany",1
"Hi Germany,

I’m working hard on turning England. And I’m also trying to get Russia to come to your aid. Doing the best I can! I’ll keep you posted.",True,True,italy,germany,541,35,Fall,1902,4,-1,"italy, germany",1
"England just told me that Russia is helping them to take Denmark so that may be a lost cause. Granted, the source for that intel is a serpentine jackal-spawn",True,True,germany,italy,546,36,Fall,1902,5,1,"italy, germany",1
"Okay, I’m reasonably sure that England wants to take the Channel and attack France now. 

I believe that you should basically do whatever England asks to help make this happen. As long as E attacks F, you will be in a much better position, and you’ll gain back centers quickly. 

What are you hearing?",True,True,italy,germany,604,37,Spring,1903,5,1,"italy, germany",1
"What are your plans for this turn? I can't help but notice that Munich is surrounded by foreign armies on three sides...

I wish I could be more helpful but I'm pretty much just treading water right now trying not to lose anything else",True,True,germany,italy,656,38,Fall,1903,4,-1,"italy, germany",1
"Hey — sorry, just getting back into this now.",True,True,italy,germany,693,39,Fall,1903,5,1,"italy, germany",1
"I have good news! (1) I am finally attacking France this turn. (2) I will be supporting Munich to hold from Tyrolia. 

Let’s turn this game around, yes?",True,True,italy,germany,722,40,Fall,1903,5,1,"italy, germany",1
I am pretty sure that England is not attacking you this turn. And I am committed to supporting Munich holding. Make sure you don’t move Munich so that it can take my support.,True,True,italy,germany,740,41,Fall,1903,5,1,"italy, germany",1
"Okay, can do. Thanks!",True,True,germany,italy,741,42,Fall,1903,4,-1,"italy, germany",1
"I suggest that you order:
Kiel Support Berlin holding
Berlin Support Munich holding
Helg to Holland
Munich Support Berlin holding",True,True,italy,germany,744,43,Fall,1903,5,1,"italy, germany",1
I agree completely--although I didn't know that a country could hold *and* support at the same time! Thanks!,True,True,germany,italy,748,44,Fall,1903,4,-1,"italy, germany",1
Thanks Italy. Hope you're enjoying the weather on the Anatolian 😉,True,True,germany,italy,783,45,Fall,1903,4,-1,"italy, germany",1
I will be supporting Munich to hold again. And I’ll be trying to get Russia to back off your flank and protect himself against an Austrian stab that is coming.,True,NOANNOTATION,italy,germany,818,46,Spring,1904,6,2,"italy, germany",1
"Two bits of advice: #1 I suggest you tell Russia that Austria is coming for him. You really want Russia to move Sil back to Gal. You might also suggest to Russia that is he supports you to Denmark, you will then support Russia back to Sweden. I don’t know yet if it actually makes sense to do that, but you want Russia thinking that you are eager to work with him. He’ll be hoping for a reason to break off his attack on you at this point.",True,NOANNOTATION,italy,germany,819,47,Spring,1904,6,2,"italy, germany",1
"#2 Here is the move set I would suggest right now:
Kiel Support Holland holding
Holland Support Wales to Belgium (tell England you are going to order this support and he can take it or leave it)
Munich Support Berlin holding
Berlin Support Munich holding

I think that both France and Russia are about to back off you, as they are both under fire at home. Just hold still, and soon you should be able to break out of this holding pattern.",True,NOANNOTATION,italy,germany,820,48,Spring,1904,6,2,"italy, germany",1
"God, I hope so! I'm attempting to make that deal with russia now...and I'm talking with England re: Belgium",True,True,germany,italy,826,49,Spring,1904,4,-2,"italy, germany",1
"It’s none of my business, but if you do plan to take Denmark, I strongly recommend you wait until Fall. I think the most important thing for you right now is getting England fully committed against France. If that happens, taking Denmark later will be easy.",True,True,italy,germany,856,50,Spring,1904,6,2,"italy, germany",1
"I think me and England are really on the same page at this point regarding France. I'm actually sort of running counter-intelligence for England (and my friends to the south, of course!) with Russia right now. 

England and I talked about Denmark too...and it seems like one or the other of Denmark or Belgium should work out for me this year and I'm fine with that",True,True,germany,italy,860,51,Spring,1904,4,-2,"italy, germany",1
Great to hear. Thank you.,True,True,italy,germany,864,52,Spring,1904,6,2,"italy, germany",1
"Do you need me to disrupt Bur this year? I'll need to seriously trust Russia if I'm going to risk not holding my eastern front, I think...",True,True,germany,italy,913,53,Fall,1904,4,-2,"italy, germany",1
"I do think a move to Burgundy makes sense for you this turn, and I can’t imagine Russia attacking you here. He has a serious Austria problem. 

I suggest this:
Mun - Bur
Ruh - Bel
Hol Support Ruh - Bel 
Ber - Kie

Tell Russia that the last thing in the world you want to see is Austria run him over, and you’re willing to help keep Russia viable if necessary (you’re angling for Russia to disband his northern holdings this turn).",True,True,italy,germany,946,54,Fall,1904,6,2,"italy, germany",1
"And ask England nicely to support Ruh - Hol, with the explanation that you don’t plan to ask for Denmark back, but you think it would help you both to diminish France. (You’ll get Den back eventually, but you want England to think you don’t care about it).",True,True,italy,germany,947,55,Fall,1904,6,2,"italy, germany",1
"Thanks, I'll work on these. 
...Why didn't you scooch into the Aegean behind Austria? You could have defended or even held Bulgaria this turn?",True,True,germany,italy,954,56,Fall,1904,4,-2,"italy, germany",1
"England and I were talking about your moves for this season--what do you think of convoying Pie into Spa, supporting this with Wes, and then moving Tyr into Pie?",True,True,germany,italy,958,57,Fall,1904,4,-2,"italy, germany",1
"This leaves Marseilles open for Bur to fall into if France goes that route, which gives me an opening into Bur",True,True,germany,italy,959,58,Fall,1904,4,-2,"italy, germany",1
That’s not bad.,True,True,italy,germany,965,59,Fall,1904,6,2,"italy, germany",1
I was kind of thinking I should pick one or the other of Marseilles or Spain to attack and not tell a soul which one I’m going after.,True,True,italy,germany,966,60,Fall,1904,6,2,"italy, germany",1
Do you really think it’s important to coordinate?,True,True,italy,germany,967,61,Fall,1904,6,2,"italy, germany",1
I do think you’re best off moving to Burgundy. And there is some chance that we fail this turn. But I think we just take a guess and hope for the best. We’ll get him next turn if not this one.,True,True,italy,germany,968,62,Fall,1904,6,2,"italy, germany",1
Okay—sorry for being nosy! I will try for bur on the off chance it shakes out that way,True,True,germany,italy,970,63,Fall,1904,4,-2,"italy, germany",1
"Nah, you’re not being nosy at all. I mean, come on, we both know that I have no problem sticking my nose where it doesn’t belong.",True,True,italy,germany,971,64,Fall,1904,6,2,"italy, germany",1
Marked as true,True,True,germany,italy,972,65,Fall,1904,4,-2,"italy, germany",1
"I like to coordinate, but on these sort of 50/50 guesses, I kind of like to keep it secret so that if it doesn’t go well, I have nobody to blame but myself.",True,True,italy,germany,973,66,Fall,1904,6,2,"italy, germany",1
Ha!,True,True,italy,germany,974,67,Fall,1904,6,2,"italy, germany",1
"Well, are you willing to humor my question about the Aegean, anyway?",True,True,germany,italy,975,68,Fall,1904,4,-2,"italy, germany",1
"Sure. I was thinking of moving that fleet to Ionian. You think a move to Aegean is better? I’m not really sure, but let’s talk it through.",True,True,italy,germany,977,69,Fall,1904,6,2,"italy, germany",1
"No sorry I meant in hindsight--like this past turn you should have moved to Aeg so that this current turn, when Austria takes Rumania (from Bulgaria), you'd be there to cover Bulgaria so it couldn't get scooped by the Black sea, and potentially you'd just get to take it.",True,True,germany,italy,978,70,Fall,1904,4,-2,"italy, germany",1
Not a bad point. I agree.,True,True,italy,germany,989,71,Fall,1904,6,2,"italy, germany",1
"Hmmmm, kind of a pointless lie if you ask me, but I won’t hold it against you. You’re in a tough spot.",True,True,italy,germany,1012,72,Winter,1904,7,2,"italy, germany",1
um what lie? I did exactly the moves you suggested!,True,True,germany,italy,1014,73,Winter,1904,5,-2,"italy, germany",1
Ha! So sorry!! I meant that for France!,True,True,italy,germany,1015,74,Winter,1904,7,2,"italy, germany",1
You are my favorite.,True,False,italy,germany,1016,75,Winter,1904,7,2,"italy, germany",1
"Marked as lie because clearly austria is your favorite.
Speaking of, I assume that your seizing Trieste was mutually agreed upon?",True,True,germany,italy,1030,76,Winter,1904,5,-2,"italy, germany",1
Yes — agreed upon.,True,True,italy,germany,1033,77,Winter,1904,7,2,"italy, germany",1
That's not what Austria said to England...,True,True,germany,italy,1037,78,Winter,1904,5,-2,"italy, germany",1
"Hmmmm, okay. Well, let’s just keep that between you and me then. 🤦‍♂️",True,True,italy,germany,1042,79,Winter,1904,7,2,"italy, germany",1
"You know italy, I think we *do* need to coordinate your move this time--England and I have a shot at either Bur or Mao if one of Marseilles or Spain can be left open for France to fall into. This will improve all of our chances of crushing France quickly.",True,True,germany,italy,1045,80,Winter,1904,5,-2,"italy, germany",1
"Okay, I can dig it. What do you want me to do?",True,True,italy,germany,1046,81,Winter,1904,7,2,"italy, germany",1
Let me confer with England and get back to you. Glad to hear that though!,True,True,germany,italy,1049,82,Winter,1904,5,-2,"italy, germany",1
So...any thoughts on how to approach this?,True,True,italy,germany,1111,83,Spring,1905,7,2,"italy, germany",1
"It looks like England's not willing to try for MAO if it means possibly losing the channel. However, they'll bring the NWG fleet around to try for MAO next year. 
So if you could keep Marseilles open, it will help me to try and take Burgundy this turn.",True,True,germany,italy,1113,84,Spring,1905,5,-2,"italy, germany",1
"If I leave Marseilles open, would you kindly use Burgundy in the Fall to help me take Marseilles? (Likely that means ordering Burgundy to Gascony to cut support)",True,True,italy,germany,1118,85,Spring,1905,7,2,"italy, germany",1
Will do.,True,True,germany,italy,1120,86,Spring,1905,5,-2,"italy, germany",1
"Okay, so I still have a teensy little bone to pick with you: on the off-chance that Austria wasn't lying and you *did* take Trieste unexpectedly, I sort of worry that I might be next. Are you willing to tell me what your plans are for the Tri unit, or at least to warn me before any move into Tyrolia?",True,True,germany,italy,1156,87,Spring,1905,5,-2,"italy, germany",1
"Sure. But, you’ll see from my moves this turn that Austria is lying to you.",True,True,italy,germany,1168,88,Spring,1905,7,2,"italy, germany",1
I currently have Tri - Tyrolia. I like the unit there because it sets up an attack on Austria if I ever want to go that route (build A Ven and go east). Do you want me to keep Tyrolia clear?,True,True,italy,germany,1169,89,Spring,1905,7,2,"italy, germany",1
I’ll add — I would never attack Germany as Italy. Setting myself as a giant column like that is just not defensible. It would be a terrible move.,True,True,italy,germany,1170,90,Spring,1905,7,2,"italy, germany",1
Not when that column is not-so-giant and in a turf war with France.,True,True,germany,italy,1171,91,Spring,1905,5,-2,"italy, germany",1
oh you mean setting *yourself*,True,True,germany,italy,1172,92,Spring,1905,5,-2,"italy, germany",1
"But you could easily pick off, say, Munich and not be a ""giant column""",True,True,germany,italy,1173,93,Spring,1905,5,-2,"italy, germany",1
"I mean this sincerely: any Germany who does that is a terrible player. 

Why would I do that? I would need 2-3 units to hold one center. That is a net negative. And all of your units are doing things that are good for me in containing your neighbors. 

I’ve been working hard in this game for you to succeed and knock back France and England. I can say with 100% certainty: I’m not going to attack you. I’m going to keep helping you as much as I can.",True,True,italy,germany,1174,94,Spring,1905,7,2,"italy, germany",1
"That said, if you want me NOT to move to Tyrolia, I won’t move there.",True,True,italy,germany,1175,95,Spring,1905,7,2,"italy, germany",1
"Nah, I just needed some reassurance :)
Your logic is undenyable— enjoy your stay in tyr!",True,True,germany,italy,1176,96,Spring,1905,5,-2,"italy, germany",1
*undeniable? That looks better,True,True,germany,italy,1177,97,Spring,1905,5,-2,"italy, germany",1
"I mean it sincerely. I think that England will want to coax me to attack you with him after France falls, but I’d much rather work with you against England. 

But first thing’s first — let’s get rid of France.",True,True,italy,germany,1178,98,Spring,1905,7,2,"italy, germany",1
Agreed,True,True,germany,italy,1179,99,Spring,1905,5,-2,"italy, germany",1
(On the france part),True,True,germany,italy,1180,100,Spring,1905,5,-2,"italy, germany",1
Sorry I won't be able to cut off Gascony this turn...I probably should have just told you my moves; you could have advised me that supporting Mun-Bur was more important than Kie-Ruh,True,True,germany,italy,1238,101,Fall,1905,5,-2,"italy, germany",1
"No worries. We’ll crack this but eventually. 

Here is my suggestion for this turn:
Kie - Den
Hol S Bel holding
Bel S Ruh - Bur
Mun S Ruh - Bur
Ruh - Bur",True,True,italy,germany,1240,102,Fall,1905,7,2,"italy, germany",1
"I think you should suggest to England that he gets Sweden and St Petersburg, while you get Denmark back. That’s only fair, as you have been a loyal ally in the fight against France and you plan to continue to do that.",True,True,italy,germany,1241,103,Fall,1905,7,2,"italy, germany",1
"The moves I had already planned differ in one respect: I thought it would be worth the risk to try moving Hol-Bel and therefore move Bel-Bur. Even if me and France are high-fiving in Bel for a few seasons it's still mine, and it's not like Holland has anything better to do while I'm still allies with England.

...The only reason I'm reluctant to make that agreement with England is that---while I think *you* and I have a good relationship---I really have not talked with Austria much at all, and I'm the next logical target for them when Russia's gone. And anything that's bad for Russia right now is good for Austria.",True,True,germany,italy,1245,104,Fall,1905,5,-2,"italy, germany",1
"Hmmmm, I’m just not sure you should trust England enough right now to leave Holland open and Belgium essentially unguarded. 

France is a really good player, and he is no doubt working hard to get England to turn on you. My personal take is that you are better off being a bit more conservative until you have Denmark back and England has moved another fleet towards France. But I can see it either way.",True,True,italy,germany,1246,105,Fall,1905,7,2,"italy, germany",1
"With regard to Russia, talk it through with England. What you don’t want is England taking out Russia and giving you nothing. So, if England agrees to let Russia be for a while, then your plan sounds good. But if England is going to take Sweden, you really should get Denmark back. (I’m my view)",True,True,italy,germany,1247,106,Fall,1905,7,2,"italy, germany",1
"Okay you've convinced me: it's worth figuring out what E's plans are for Russia at least.

And you're almost certainly right, from a rational perspective, about leaving Holland/Belgium vulnerable to England. But I think England really is counting on my assistance in taking France, and because of that and other non-quantifiable reasons I trust them.",True,True,germany,italy,1248,107,Fall,1905,5,-2,"italy, germany",1
"Excellent. Obviously you have a much better feel for your relationship with England than I do. Just know that France is persuasive, and I’m sure that’s what he’s working on. He stopped talking to me, so I bet he’s trying to turn England. Just keep reassuring England that you want to work with him long-term so he doesn’t succumb to the Dark Side.",True,True,italy,germany,1249,108,Fall,1905,7,2,"italy, germany",1
"Hi Germany — well, I think we’re getting to a critical point in the game here. France held out a long time, but he’s much less of a threat now. I think the critical issue, for you, is England. 

I have some thoughts on the matter, and some information, but I’d like to feel confident that you and I will keep anything we say between us. I think of you as the one person who has been honest with me on every turn. You even tell me the truth when it’s bad news, or when you don’t completely trust me, and I like that.",True,True,italy,germany,1368,109,Winter,1905,8,3,"italy, germany",1
"Okay, Italy. I won't share any of this conversation. But in the interest of continued full disclosure, here's what I think: England is a greater threat to *me* on the map, but *you* have a greater chance of soloing this game quickly, or pair-winning with Austria even sooner. And if I continue to collaborate with England, we at least have a chance of slowing that down. So I'm in sort of a conflicted spot",True,True,germany,italy,1370,110,Winter,1905,5,-3,"italy, germany",1
This is why I like you. The full disclosure part. You tell me the truth even when the news isn’t great.,True,True,italy,germany,1377,111,Winter,1905,8,3,"italy, germany",1
"My thoughts on the “Germany/England forever so that at least we can stop the solo” strategy: (1) It’s quite early to be talking about solos. I am at 8, and Austria could take 3 from me any time, quite easily. (2) I don’t think England is thinking that way. I think he’s thinking that a dominant power will emerge in the north, and one will emerge in the south. And he’s like to be that dominant power.",True,True,italy,germany,1378,112,Winter,1905,8,3,"italy, germany",1
"England’s pieces are not positioned well if he’s trying to attack France or contain Italy. He keeps Denmark guarded, and North Sea filled. He is not playing like he intends to stick with you, even though I’m sure he’s telling you that.",True,True,italy,germany,1379,113,Winter,1905,8,3,"italy, germany",1
"You’re right that you don’t want to start a war with England right now. But, you must stick up for yourself, because nobody else will do that if you don’t.",True,True,italy,germany,1380,114,Winter,1905,8,3,"italy, germany",1
"If I were you, this is what I would do: (1) keep warning England about the dangers of Italy getting too big and insist that England moves his fleets towards MAO (Channel to Irish, Norwegian to NAO, North - Channel), (2) insist on taking Denmark back.",True,True,italy,germany,1381,115,Winter,1905,8,3,"italy, germany",1
"I would say something like this:

England, I’m with you my friend, but we’re passed the stage of you needing to keep me under lock and key. I need to take Denmark back. I’m happy to support you to Brest to keep you growing, or you can grab Sweden. You have plenty of options other than keeping your ally’s center, but if you really want to be my ally long-term, you’ve got to show me that.",True,True,italy,germany,1382,116,Winter,1905,8,3,"italy, germany",1
I am hearing from England signs that he may be thinking of attacking you soon. And I think you actually avoid that better by being strong and sticking up for yourself rather than being accommodating and letting him do whatever he wants to do.,True,True,italy,germany,1383,117,Winter,1905,8,3,"italy, germany",1
"Well, both you and France have now pointed out that England is strategically not in a good place to be my ally right now, and you are correct. I'll be more cautious with my northern border, but I made a pretty strong argument for denmark this past turn and it fell on deaf ears",True,True,germany,italy,1385,118,Winter,1905,5,-3,"italy, germany",1
...which probably also should have been a sign for me,True,True,germany,italy,1386,119,Winter,1905,5,-3,"italy, germany",1
"Well, if you want, you could just take Denmark this next year and I don’t think England is in a position to retaliate.",True,True,italy,germany,1387,120,Winter,1905,8,3,"italy, germany",1
Probably not...has France been talking with you at all about their sunsetting strategy? They've indicated a willingness to work with you and me and a desire to see England get as few dots as possible,True,True,germany,italy,1389,121,Spring,1906,5,-3,"italy, germany",1
"He did say that to me too. Though, France has a long history of lying to me, so I really don’t trust him.",True,True,italy,germany,1391,122,Spring,1906,8,3,"italy, germany",1
"Well France has actually been pretty honest with me, and I at least am certain that they wouldn't betray me to England. So, I'm considering working with F to sabotage (or potentially full-on backstab) England this turn, which would have the side-effect of maybe taking some attention away from the south for you anyway.",True,True,germany,italy,1394,123,Spring,1906,5,-3,"italy, germany",1
(and I'd be interested to hear your thoughts on this if you're in the mood to give out free advice),True,True,germany,italy,1395,124,Spring,1906,5,-3,"italy, germany",1
"Hi Germany — sorry for the delay. Well...I think it’s really important that you get a build this turn either way. I don’t think England will get a build this turn, so if I were you I’d probably take Paris, build a fleet, and move on England after that.",True,True,italy,germany,1419,125,Spring,1906,8,3,"italy, germany",1
"But it likely depends on how communication is going with England. If he’ll give you back Denmark, that might change the equation.",True,True,italy,germany,1420,126,Spring,1906,8,3,"italy, germany",1
I am waiting on England to make a decision about that--they claim to be thinking about it.,True,True,germany,italy,1423,127,Spring,1906,5,-3,"italy, germany",1
England told me you said I was plotting with France. It makes sense you’d want to pit us against each other.,True,True,germany,italy,1498,128,Spring,1906,5,-3,"italy, germany",1
Hey — tried to send you a message earlier but not was down. England was telling me that you’re saying that I told you that England is plotting against you. The problem with telling England that is that he will stop giving me useful info.,True,True,italy,germany,1500,129,Spring,1906,8,3,"italy, germany",1
"Truly, I don’t want you and England to fight. I am not trying to break you up. I suggested that you take Paris! I want you guys to work together with me against France.",True,True,italy,germany,1501,130,Spring,1906,8,3,"italy, germany",1
"You don't want us to fight, yet you betrayed both of our confidence with you in a way that makes us distrust each other?",True,True,germany,italy,1513,131,Spring,1906,5,-3,"italy, germany",1
I really don’t think that’s a fair description. You guys both wanted to attack each other. I encouraged you both to keep working together.,False,True,italy,germany,1517,132,Spring,1906,8,3,"italy, germany",1
Just as long as it suits you. Are you going to give England Mao?,True,True,germany,italy,1518,133,Spring,1906,5,-3,"italy, germany",1
"Hmmm, should I be reading that as angry sarcastic with dagger eyes? (I’m not sure if I’m getting your tone right)",True,True,italy,germany,1520,134,Spring,1906,8,3,"italy, germany",1
"We’re friends, right? I believe that every single message I’ve sent you all game has been truth, and I’ve gone out of my way to give you candid advice. Are we still friends?",False,True,italy,germany,1521,135,Spring,1906,8,3,"italy, germany",1
Regarding MAO — I don’t know. What do you want me to do? I don’t have any set plan.,True,True,italy,germany,1522,136,Spring,1906,8,3,"italy, germany",1
"Yep, there's some sarcasm there. Looking back at your messages, I still don't read them as encouraging collaboration. And if you wanted us to be friends, you could have done that without betraying me to England by simply saying in your candid way ""I don't think you should do that for such and such reason"". But you chose to increase E's distrust of me. So I think you might be full of gnocchi and crap. 

My trust in you is a bit shaken but I still think we can have a working partnership with a bit more caution on my end. It would be my preference that you hold Mao, on the assumption that if it came down to a choice between partnering with me or England, you'd choose me. If that's not the case, then as the filling of an England-Italy sandwich I'm in no position to retaliate anyway.",True,True,germany,italy,1524,137,Spring,1906,5,-3,"italy, germany",1
"Well, again, I like that you’re honest with me, even when the news is bad.",True,True,italy,germany,1533,138,Fall,1906,8,3,"italy, germany",1
"I have to say that I’m surprised that you feel that I’ve betrayed your trust. I have been feeling like maybe I’ve been TOO helpful to you, and been a bit over the top in offering advice, etc., but it seems like I’ve misread the situation.",False,True,italy,germany,1535,139,Fall,1906,8,3,"italy, germany",1
"No, it's completely true that you've been too helpful, and I'm really really grateful for it because I've been able to learn so much from this game. But it's also true that you didn't have to tell England what you did, and all you stood to gain from it was that it shook my and E's trust in each other.",True,True,germany,italy,1537,140,Fall,1906,5,-3,"italy, germany",1
"But I understand what you’re saying, and I much prefer to have a heart to heart like this, a frank airing of grievances, rather than being surprised by unkind moves on the board. https://youtu.be/xoirV6BbjOg",True,True,italy,germany,1539,141,Fall,1906,8,3,"italy, germany",1
Was not expecting seinfeld today and it was a pleasant surprise,True,True,germany,italy,1540,142,Fall,1906,5,-3,"italy, germany",1
🤗,True,True,italy,germany,1546,143,Fall,1906,8,3,"italy, germany",1
Here’s the deal: I like you better than England.,False,True,italy,germany,1548,144,Fall,1906,8,3,"italy, germany",1
